('SD', 608885)
('TX', 25858815)
('PR', 3332031)
('OH', 8618180)
('NM', 1942442)
('NY', 5627696)
('NC', 7046671)
('LA', 4214281)
('AK', 531109)
('WI', 4437147)
('AR', 1599038)
('KS', 1584070)
('TN', 4045319)
('GA-SC', 578058)
('ME', 884825)
('CA', 38143899)
('NE', 713169)
('WV', 755496)
('SC', 3643905)
('VA', 2640615)
('WV-VA', 99729)
('CO', 5116642)
('MO', 1578783)
('CT', 3363666)
('IA-IL', 418749)
('MO-IL', 2839772)
('WY', 389095)
('NC-SC', 2436602)
('IL-IN-WI', 9378669)
('GA-AL', 295182)
('MD-WV', 344394)
('DE', 169188)
('MN-WI', 3766998)
('IN-KY', 305706)
('ND-MN', 346177)
('AR-OK', 276528)
('HI', 1383626)
('MI-WI', 29381)
('WY-ID', 34027)
('MO-KS', 2191533)
('TN-VA', 299750)
('ID-WA', 61044)
('KY-IN', 1257603)
('SC-NC', 441673)
('MS-LA', 46927)
('NY-NJ-PA', 19636774)
('OR-ID', 49301)
('PA-NJ-DE-MD', 5920419)
('WV-OH', 306394)
('RI-MA', 1559612)
('IN-MI', 308405)
('DC-VA-MD-WV', 6032479)
('WA', 6513633)
('OK', 3190402)
('MI', 8984573)
('GA', 8503142)
('OR', 1970064)
('MN', 1191192)
('AL', 4230662)
('PA-NJ', 810891)
('PA', 7155645)
('IA', 1842856)
('IN', 4437704)
('FL', 19875186)
('NJ', 848177)
('MD', 2901199)
('KY', 1678608)
('MA', 1011394)
('VT', 355729)
('NH-VT', 244208)
('MT', 666733)
('ND', 284692)
('ID', 1434090)
('IL', 2438029)
('MA-NH', 4655175)
('MS', 1987877)
('NV', 2852751)
('UT', 2738775)
('TN-GA', 536885)
('OH-KY-IN', 2118388)
('TN-KY', 307661)
('NH', 676690)
('AL-GA', 25132)
('AR-MO', 514951)
('AZ', 6689014)
('IA-IL-MO', 57888)
('WV-KY-OH', 349883)
('WI-MN', 131097)
('UT-ID', 132684)
('WI-MI', 62350)
('TN-MS-AR', 1319999)
('NE-IA', 904226)
('KY-IL', 94804)
('OR-WA', 2384286)
('IL-MO', 74120)
('MD-DE', 384934)
('IA-NE-SD', 164771)
('TX-AR', 142771)
('VA-NC', 1652228)
('VA-WV', 133129)
('MA-CT', 905658)
('OH-PA', 527098)